MDL_NO,CAPTION,JUDGE,DISTRICT,DATE_FILED,DATE_TRANSFERRED,DATE_TERMINTAED,MASTER_DOCKET,TOTAL_ACTIONS,TYPE,APPOINTMENT_ORDER,APPOINTMENT_ORDER_CONTESTED,PLAINTIFF_LEAD_COUNSEL ,PLAINTIFF_LEAD_COUNSEL_AUTHORITY,PLAINTIFF_LEAD_COUNSEL_DUTIES,PLAINTIFF_LEADERSHIP_STRUCTURE, PLAINTIFF_LEADERSHIP_AUTHORITY ,PLAINTIFF_LEADERSHIP_DUTIES ,PLAINTIFF_LIAISON_COUNSEL ,DEFENSE_LEAD_COUNSEL,DEFENSE_LEADERSHIP_STRUCTURE  ,DEFENSE _LIAISON_COUNSEL ,RULE_23,MCL,LIMIT_NONLEADER_PRACTICE ,FINANCIAL_CONTRIBUTION,LEADERSHIP_COMPENSATION,RECORDKEEPING,COMMENTS_OLD,Notes,Assigned to,Complete,Order_Count,Sum_OU_Create,Sum_OU_Terminate,Net_OUs,YEARS_PENDING,Source_Table
2904,"2904 IN RE: American Medical Collection Agency, Inc., Customer Data Security Breach Litigation","Arleo, Madeline C.",NJ,,2019-07-31 00:00:00,,2:19-md-02904,,Data Breach and Consumer Privacy,,,,,,,,,,,,,,,,,,,,,DN/complete/co-work,,,,,,,new
2905,2905 IN RE: ZF-TRW Airbag Control Units Products Liability Litigation,"Kronstadt, John A.",CAC,,2019-08-07 00:00:00,,2:19-ml-02905,,Products Liability,,,,,,,,,,,,,,,,,,,,,DN/complete/co-work,,,,,,,new
2909,2909 IN RE: Fairlife Milk Products Marketing and Sales Practices Litigation,"Dow, Robert M.",ILN,,2019-10-02 00:00:00,,1:19-cv-03924,,Sales Practices,,,,,,,,,,,,,,,,,,,,,DN/complete/co-work,,,,,,,new
2912,2912 IN RE: Palbociclib Patent Litigation,"Connolly, Colm F.",DE,,2019-10-02 00:00:00,,1:19-md-02912,,Intellectual Property,,,,,,,,,,,,,,,,,,,,,DN/complete/co-work,,,,,,,new
2913,"2913 IN RE: Juul Labs, Inc., Marketing, Sales Practices, and Products Liability Litigation","Orrick, William H.",CAN,,2019-10-02 00:00:00,,3:19-md-02913,,Products Liability,,,,,,,,,,,,,,,,,,,,Massive docket; only grabbed case management orders to avoid compliance issues with Lexis,DN/complete/co-work,,,,,,,new
2914,2914 IN RE: ERMI LLC ('289) Patent Litigation,"Altman, Roy K.",FLS,,2019-10-02 00:00:00,,0:19-md-02914,,Intellectual Property,,,,,,,,,,,,,,,,,,,,,DN/complete/co-work,,,,,,,new
2915,2915 IN RE: Capital One Consumer Data Security Breach Litigation,"Trenga, Anthony J.",VAE,,2019-10-02 00:00:00,,1:19-md-02915,,Miscellaneous,,,,,,,,,,,,,,,,,,,,,DN/complete/co-work,,,,,,,new
2918,2918 IN RE: Hard Disk Drive Suspension Assemblies Antitrust Litigation,"Chesney, Maxine M",CAN,,2019-10-08 00:00:00,,3:19-md-02918,,Antitrust,,,,,,,,,,,,,,,,,,,,,DN/complete/co-work,,,,,,,new
2921,2921 IN RE: Allergan Biocell Textured Breast Implant Products Liability Litigation,"Martinotti, Brian R.",NJ,,2019-12-18 00:00:00,,2:19-md-02921,,Products Liability,,,,,,,,,,,,,,,,,,,,,DN/complete/co-work,,,,,,,new
2924,2924 IN RE: Zantac (Ranitidine) Products Liability Litigation,"Rosenberg, Robin L.",FLS,,2020-02-06 00:00:00,,9:20-md-02924,,Products Liability,,,,,,,,,,,,,,,,,,,,Massive docket; only grabbed pre-trial orders,DN/complete/co-work,,,,,,,new
2925,2925 IN RE: Rail Freight Fuel Surcharge Antitrust Litigation (No. II),"Howell, Beryl A.",DC,,2020-02-06 00:00:00,,1:20-mc-00008,,Antitrust,,,,,,,,,,,,,,,,,,,,,DN/complete/co-work,,,,,,,new
2930,2930 IN RE: Entresto (Sacubitril/Valsartan) Patent Litigation,"Stark, Leonard P.",DE,,2020-03-27 00:00:00,,1:20-md-02930,,Intellectual Property,,,,,,,,,,,,,,,,,,,,,DN/complete/co-work,,,,,,,new
2931,2931 IN RE: Delta Dental Antitrust Litigation,"Bucklo, Elaine E.",ILN,,2020-03-27 00:00:00,,1:19-cv-06734,,Antitrust,,,,,,,,,,,,,,,,,,,,,DN/complete/co-work,,,,,,,new
2933,"2933 IN RE: TransUnion Rental Screening Solutions, Inc., Fair Credit Reporting Act","Boulee, Jean-Paul",GAN,,2020-03-30 00:00:00,,1:20-md-02933,,Miscellaneous,,,,,,,,,,,,,,,,,,,,,DN/complete/co-work,,,,,,,new
